Nitrogen (mg/kg),Fosfor (mg/kg),Kalium (mg/kg),pH,Kelembapan (%),Suhu (°C),EC (dS/m),Salinitas (ppt),TDS (ppm),Kondisi Tanah,Rekomendasi Tindakan
709,246,3045,6.2,65.25,27.59,0.1,295.45,2812.22,Baik,"tambahkan pupuk sedang, cukup air"
423,352,1402,6.25,52.88,28.41,1.91,187.2,1163.62,Baik,"tambahkan pupuk banyak, cukup air"
796,133,3600,6.37,50.17,30.93,1.65,245.48,3526.63,Baik,"tambahkan pupuk sedang, cukup air"
800,155,3052,6.0,50.4,25.32,1.82,277.54,2944.5,Baik,"tambahkan pupuk sedang, cukup air"
477,136,2522,6.23,61.73,29.19,0.13,156.36,2212.06,Baik,"tambahkan pupuk banyak, cukup air"
738,340,1171,6.12,59.11,28.78,1.87,299.77,1048.51,Baik,"tambahkan pupuk sedang, cukup air"
364,123,3114,5.69,60.36,28.21,1.64,255.89,2775.01,Baik,"tambahkan pupuk banyak, cukup air"
718,215,3368,5.53,50.15,29.61,1.69,328.35,1037.97,Baik,"tambahkan pupuk sedang, cukup air"
880,355,2125,5.78,58.45,23.89,0.28,199.64,1003.61,Baik,"tambahkan pupuk sedang, cukup air"
254,202,3144,5.94,64.36,21.27,1.5,150.82,2848.3,Baik,"tambahkan pupuk banyak, cukup air"
400,129,3715,6.12,58.85,21.79,1.92,234.87,1567.05,Baik,"tambahkan pupuk banyak, cukup air"
507,117,1421,6.35,64.64,23.37,1.39,146.11,1575.66,Baik,"tambahkan pupuk sedang, cukup air"
621,156,3612,5.7,54.66,27.5,1.18,332.57,2959.81,Baik,"tambahkan pupuk sedang, cukup air"
834,226,3650,5.63,66.26,32.61,1.9,136.16,1161.09,Baik,"tambahkan pupuk sedang, cukup air"
549,129,1410,6.46,61.77,30.52,0.94,286.99,1940.22,Baik,"tambahkan pupuk sedang, cukup air"
247,346,1712,5.61,54.22,31.84,1.24,238.8,1448.3,Baik,"tambahkan pupuk banyak, cukup air"
475,199,1994,5.98,54.73,25.26,1.01,205.78,2740.53,Baik,"tambahkan pupuk banyak, cukup air"
579,245,1385,6.09,62.56,26.07,1.87,141.89,2985.3,Baik,"tambahkan pupuk sedang, cukup air"
798,346,1312,6.04,66.6,25.91,0.24,259.28,3163.41,Baik,"tambahkan pupuk sedang, cukup air"
573,260,1812,5.59,58.31,22.88,1.05,251.48,1765.69,Baik,"tambahkan pupuk sedang, cukup air"
325,143,1956,5.56,55.17,20.92,1.41,187.27,1267.75,Baik,"tambahkan pupuk banyak, cukup air"
600,181,1831,5.61,67.34,28.86,1.6,320.06,1236.05,Baik,"tambahkan pupuk sedang, cukup air"
688,278,3745,6.09,63.39,34.84,1.21,192.17,2278.45,Baik,"tambahkan pupuk sedang, cukup air"
661,344,2481,6.04,58.96,22.5,1.83,222.89,3837.53,Baik,"tambahkan pupuk sedang, cukup air"
742,376,2512,5.73,59.76,20.7,1.89,242.73,1653.19,Baik,"tambahkan pupuk sedang, cukup air"
268,279,2805,6.14,54.09,31.69,0.22,149.15,1770.22,Baik,"tambahkan pupuk banyak, cukup air"
439,125,3570,6.32,62.54,23.79,0.86,324.69,1302.67,Baik,"tambahkan pupuk banyak, cukup air"
314,310,2770,5.54,57.17,32.44,0.14,207.03,2816.71,Baik,"tambahkan pupuk banyak, cukup air"
795,233,3089,6.0,69.91,30.56,0.73,145.04,3039.62,Baik,"tambahkan pupuk sedang, cukup air"
621,385,1343,6.19,59.6,34.19,1.12,209.72,2928.79,Baik,"tambahkan pupuk sedang, cukup air"
235,195,2670,5.75,59.72,26.13,1.83,254.64,3583.39,Baik,"tambahkan pupuk banyak, cukup air"
623,208,1515,5.81,61.32,29.93,1.71,236.38,2459.28,Baik,"tambahkan pupuk sedang, cukup air"
799,381,2846,6.11,68.34,26.97,0.34,274.55,1403.37,Baik,"tambahkan pupuk sedang, cukup air"
339,372,1473,6.4,66.02,29.46,0.28,139.71,1868.22,Baik,"tambahkan pupuk banyak, cukup air"
710,248,2970,6.31,59.02,26.74,1.22,188.04,2987.29,Baik,"tambahkan pupuk sedang, cukup air"
635,391,3119,6.08,64.37,22.83,1.11,300.86,2839.37,Baik,"tambahkan pupuk sedang, cukup air"
789,379,1975,6.23,61.72,27.62,0.61,144.86,2593.01,Baik,"tambahkan pupuk sedang, cukup air"
395,286,2666,5.86,59.85,27.93,1.81,308.51,3048.89,Baik,"tambahkan pupuk banyak, cukup air"
435,116,1551,6.14,53.85,32.16,1.86,147.39,2912.17,Baik,"tambahkan pupuk banyak, cukup air"
503,179,3120,5.97,59.28,31.03,0.86,304.07,3643.97,Baik,"tambahkan pupuk sedang, cukup air"
504,236,3064,5.69,54.92,29.96,1.79,204.13,2758.05,Baik,"tambahkan pupuk sedang, cukup air"
689,222,2981,6.2,68.3,21.7,0.83,257.18,3335.8,Baik,"tambahkan pupuk sedang, cukup air"
695,290,1437,6.06,56.71,30.81,1.5,160.26,1746.12,Baik,"tambahkan pupuk sedang, cukup air"
485,319,2000,5.86,69.05,27.5,1.0,141.96,3034.55,Baik,"tambahkan pupuk banyak, cukup air"
529,280,3716,6.41,60.66,33.41,0.33,173.56,3706.58,Baik,"tambahkan pupuk sedang, cukup air"
571,235,2267,5.52,62.63,33.8,1.86,154.98,2157.2,Baik,"tambahkan pupuk sedang, cukup air"
286,159,2566,5.82,60.86,20.83,0.96,193.92,3337.31,Baik,"tambahkan pupuk banyak, cukup air"
450,271,1337,5.56,52.59,32.31,1.5,236.53,3174.37,Baik,"tambahkan pupuk banyak, cukup air"
421,322,1627,6.27,57.52,20.57,0.8,252.23,1178.58,Baik,"tambahkan pupuk banyak, cukup air"
613,223,3041,6.2,51.98,25.51,0.14,294.66,2744.52,Baik,"tambahkan pupuk sedang, cukup air"
726,366,3683,5.83,62.46,28.13,0.29,266.47,1390.57,Baik,"tambahkan pupuk sedang, cukup air"
274,245,2177,6.18,58.94,22.22,1.04,256.45,3901.96,Baik,"tambahkan pupuk banyak, cukup air"
390,135,1344,5.9,65.56,31.19,1.41,214.89,3434.22,Baik,"tambahkan pupuk banyak, cukup air"
248,116,1441,6.26,54.41,20.13,0.74,227.97,1329.17,Baik,"tambahkan pupuk banyak, cukup air"
298,234,3123,5.95,53.29,22.53,1.42,215.46,1365.26,Baik,"tambahkan pupuk banyak, cukup air"
754,150,1403,5.91,58.13,28.71,1.43,305.7,2783.42,Baik,"tambahkan pupuk sedang, cukup air"
577,313,2954,6.43,68.53,30.72,1.44,176.53,2034.67,Baik,"tambahkan pupuk sedang, cukup air"
362,360,3211,5.75,64.21,33.75,1.04,129.21,1104.72,Baik,"tambahkan pupuk banyak, cukup air"
881,174,1574,5.62,58.38,30.58,1.84,265.43,2624.92,Baik,"tambahkan pupuk sedang, cukup air"
705,276,3341,6.08,60.35,30.08,1.03,170.72,2163.54,Baik,"tambahkan pupuk sedang, cukup air"
296,294,1385,6.47,51.68,25.92,0.96,315.81,1303.23,Baik,"tambahkan pupuk banyak, cukup air"
372,321,1652,5.88,69.69,20.02,0.48,309.26,3405.76,Baik,"tambahkan pupuk banyak, cukup air"
732,127,2108,5.56,63.33,21.8,0.68,144.19,3745.23,Baik,"tambahkan pupuk sedang, cukup air"
826,391,1141,5.84,55.71,28.02,0.18,150.45,3269.78,Baik,"tambahkan pupuk sedang, cukup air"
625,296,3684,6.01,61.72,30.13,1.3,232.48,3467.27,Baik,"tambahkan pupuk sedang, cukup air"
652,357,2715,5.66,52.19,26.26,0.57,256.55,1649.47,Baik,"tambahkan pupuk sedang, cukup air"
522,331,3615,6.16,69.32,30.96,0.68,186.01,1790.72,Baik,"tambahkan pupuk sedang, cukup air"
612,366,2266,6.5,53.5,27.83,1.56,279.24,1625.58,Baik,"tambahkan pupuk sedang, cukup air"
723,241,1284,5.95,62.96,21.11,0.72,253.53,3295.19,Baik,"tambahkan pupuk sedang, cukup air"
464,332,2790,5.85,54.91,22.88,0.56,196.54,3843.75,Baik,"tambahkan pupuk banyak, cukup air"
274,300,2988,5.9,64.35,32.6,0.42,133.35,3150.51,Baik,"tambahkan pupuk banyak, cukup air"
261,154,2346,5.62,65.54,30.87,1.57,286.28,3644.4,Baik,"tambahkan pupuk banyak, cukup air"
368,338,2884,6.38,63.47,33.42,0.35,173.31,2916.1,Baik,"tambahkan pupuk banyak, cukup air"
434,299,3742,5.91,62.29,21.76,0.96,304.07,2162.98,Baik,"tambahkan pupuk banyak, cukup air"
266,293,2236,5.89,67.85,34.85,1.06,216.68,2277.28,Baik,"tambahkan pupuk banyak, cukup air"
281,266,3668,6.16,51.57,23.14,1.41,249.76,1225.96,Baik,"tambahkan pupuk banyak, cukup air"
736,241,2026,5.94,56.62,20.18,1.3,312.19,1094.37,Baik,"tambahkan pupuk sedang, cukup air"
640,349,2243,6.15,54.97,34.96,1.64,310.22,3086.43,Baik,"tambahkan pupuk sedang, cukup air"
807,123,1235,5.56,69.76,24.22,0.19,206.39,2315.29,Baik,"tambahkan pupuk sedang, cukup air"
332,244,3046,6.31,57.79,30.02,0.66,172.08,2656.65,Baik,"tambahkan pupuk banyak, cukup air"
780,379,2138,6.44,64.65,22.65,0.63,291.56,2672.98,Baik,"tambahkan pupuk sedang, cukup air"
846,272,1538,6.15,63.69,28.7,0.38,219.38,1832.13,Baik,"tambahkan pupuk sedang, cukup air"
695,120,2533,6.45,54.24,33.56,0.65,168.52,2427.68,Baik,"tambahkan pupuk sedang, cukup air"
876,201,1298,5.65,54.78,24.8,0.69,318.83,2412.28,Baik,"tambahkan pupuk sedang, cukup air"
238,290,1640,5.98,55.63,30.05,1.09,169.8,2165.28,Baik,"tambahkan pupuk banyak, cukup air"
451,308,2793,6.1,58.22,22.82,1.36,133.45,3462.03,Baik,"tambahkan pupuk banyak, cukup air"
736,234,3492,6.08,54.69,29.37,0.82,132.28,2353.49,Baik,"tambahkan pupuk sedang, cukup air"
631,333,1894,5.9,50.39,25.05,1.47,259.31,2810.93,Baik,"tambahkan pupuk sedang, cukup air"
626,229,1812,5.84,67.59,23.17,0.74,267.61,3686.56,Baik,"tambahkan pupuk sedang, cukup air"
440,260,3656,5.63,69.31,24.7,0.65,193.63,3598.7,Baik,"tambahkan pupuk banyak, cukup air"
248,141,3252,5.89,56.83,22.68,1.13,195.52,3671.27,Baik,"tambahkan pupuk banyak, cukup air"
787,251,2296,5.66,56.77,33.53,0.15,199.63,1810.01,Baik,"tambahkan pupuk sedang, cukup air"
694,347,1713,6.23,50.14,25.96,0.25,271.51,1104.95,Baik,"tambahkan pupuk sedang, cukup air"
808,191,1393,5.71,63.61,23.68,0.89,140.27,1783.2,Baik,"tambahkan pupuk sedang, cukup air"
474,116,2495,5.56,66.51,26.73,1.89,324.04,1836.12,Baik,"tambahkan pupuk banyak, cukup air"
797,262,2463,6.05,52.93,24.81,1.47,174.95,3728.08,Baik,"tambahkan pupuk sedang, cukup air"
329,257,3424,6.1,53.19,31.17,0.27,338.93,2947.73,Baik,"tambahkan pupuk banyak, cukup air"
718,168,2670,6.37,65.8,34.57,1.71,164.19,1245.11,Baik,"tambahkan pupuk sedang, cukup air"
640,184,1692,6.08,62.33,26.57,1.49,290.8,1406.14,Baik,"tambahkan pupuk sedang, cukup air"
464,205,2231,5.85,50.9,32.92,1.26,175.14,1467.03,Baik,"tambahkan pupuk banyak, cukup air"
888,335,3035,6.3,62.45,28.49,1.66,145.06,2891.27,Baik,"tambahkan pupuk sedang, cukup air"
404,307,1306,6.04,56.18,22.36,0.87,312.61,3206.24,Baik,"tambahkan pupuk banyak, cukup air"
774,178,3288,5.58,57.37,30.36,0.52,309.2,3578.93,Baik,"tambahkan pupuk sedang, cukup air"
269,188,3362,6.07,65.39,27.7,1.07,213.15,3821.91,Baik,"tambahkan pupuk banyak, cukup air"
758,276,1323,6.41,66.22,29.76,1.14,276.21,1605.11,Baik,"tambahkan pupuk sedang, cukup air"
393,284,1196,5.9,58.01,33.35,1.12,245.54,1929.32,Baik,"tambahkan pupuk banyak, cukup air"
476,204,2629,5.8,68.94,26.61,1.17,307.97,1720.97,Baik,"tambahkan pupuk banyak, cukup air"
319,291,2699,5.64,58.13,33.52,1.9,194.48,2076.28,Baik,"tambahkan pupuk banyak, cukup air"
811,384,2283,5.65,65.44,31.26,1.81,238.49,3744.0,Baik,"tambahkan pupuk sedang, cukup air"
790,188,3069,5.93,59.68,27.33,1.76,230.41,2725.34,Baik,"tambahkan pupuk sedang, cukup air"
807,360,1500,6.1,67.95,29.05,1.62,202.67,3214.58,Baik,"tambahkan pupuk sedang, cukup air"
879,192,1982,5.58,68.16,24.88,1.89,316.1,2470.36,Baik,"tambahkan pupuk sedang, cukup air"
261,274,1174,6.44,51.75,34.75,0.29,163.0,1086.57,Baik,"tambahkan pupuk banyak, cukup air"
853,213,3039,6.26,68.73,30.01,0.6,159.55,1192.59,Baik,"tambahkan pupuk sedang, cukup air"
789,217,3667,6.09,66.51,20.66,1.04,249.73,2613.77,Baik,"tambahkan pupuk sedang, cukup air"
573,247,1209,6.33,65.83,24.9,1.71,266.73,3156.37,Baik,"tambahkan pupuk sedang, cukup air"
564,217,2956,5.58,54.02,29.35,1.06,169.06,1645.99,Baik,"tambahkan pupuk sedang, cukup air"
873,134,2425,5.98,66.1,20.84,1.52,210.44,3165.73,Baik,"tambahkan pupuk sedang, cukup air"
739,197,1805,6.13,67.0,20.36,0.36,327.72,3432.0,Baik,"tambahkan pupuk sedang, cukup air"
581,244,1832,6.33,55.78,26.75,0.58,180.04,2235.69,Baik,"tambahkan pupuk sedang, cukup air"
706,204,1890,6.28,69.05,24.99,1.49,269.02,3239.26,Baik,"tambahkan pupuk sedang, cukup air"
464,328,3055,5.78,51.0,26.57,0.41,284.17,2212.09,Baik,"tambahkan pupuk banyak, cukup air"
423,258,2033,6.44,53.0,23.94,0.77,222.56,3035.05,Baik,"tambahkan pupuk banyak, cukup air"
458,180,2124,5.62,60.75,22.47,0.6,325.82,3291.99,Baik,"tambahkan pupuk banyak, cukup air"
618,191,2323,6.38,61.52,30.34,0.76,283.43,3975.78,Baik,"tambahkan pupuk sedang, cukup air"
610,314,3518,6.47,62.9,27.72,1.45,224.62,2036.19,Baik,"tambahkan pupuk sedang, cukup air"
516,258,3372,5.68,50.34,23.0,0.8,248.13,2233.12,Baik,"tambahkan pupuk sedang, cukup air"
866,208,2608,6.22,69.21,24.79,1.16,274.14,1496.86,Baik,"tambahkan pupuk sedang, cukup air"
861,339,3462,5.54,50.89,28.88,0.29,252.95,1612.22,Baik,"tambahkan pupuk sedang, cukup air"
492,217,1521,5.91,52.86,21.08,1.63,313.41,3080.19,Baik,"tambahkan pupuk banyak, cukup air"
592,382,2131,6.02,50.28,22.21,0.8,203.3,3751.14,Baik,"tambahkan pupuk sedang, cukup air"
689,225,1656,6.08,61.34,21.1,1.33,191.28,2183.81,Baik,"tambahkan pupuk sedang, cukup air"
644,380,2987,6.44,68.65,32.18,1.48,173.12,1539.53,Baik,"tambahkan pupuk sedang, cukup air"
882,118,2638,6.17,63.32,31.29,0.5,135.97,1855.3,Baik,"tambahkan pupuk sedang, cukup air"
551,200,1790,5.98,66.45,31.3,1.78,137.08,2365.16,Baik,"tambahkan pupuk sedang, cukup air"
458,232,2022,6.31,50.27,30.74,1.27,311.58,1871.95,Baik,"tambahkan pupuk banyak, cukup air"
467,336,2613,6.45,60.84,30.04,0.91,271.14,1700.74,Baik,"tambahkan pupuk banyak, cukup air"
607,269,1583,5.52,59.19,27.15,0.45,267.37,3207.95,Baik,"tambahkan pupuk sedang, cukup air"
841,268,3607,6.48,59.98,29.63,1.89,257.69,1023.53,Baik,"tambahkan pupuk sedang, cukup air"
705,127,2669,5.59,51.44,20.58,1.53,307.19,2617.69,Baik,"tambahkan pupuk sedang, cukup air"
466,248,2014,6.31,63.69,29.32,0.5,229.34,3381.3,Baik,"tambahkan pupuk banyak, cukup air"
346,343,1444,5.78,60.06,31.67,0.74,311.66,1798.68,Baik,"tambahkan pupuk banyak, cukup air"
730,386,1971,5.63,65.3,27.51,1.64,203.84,2809.87,Baik,"tambahkan pupuk sedang, cukup air"
675,158,3698,5.94,59.71,25.36,1.42,323.54,3006.7,Baik,"tambahkan pupuk sedang, cukup air"
797,136,1506,6.14,52.99,24.16,1.55,275.42,2965.07,Baik,"tambahkan pupuk sedang, cukup air"
501,222,1582,5.88,62.97,29.64,0.94,182.26,2337.55,Baik,"tambahkan pupuk sedang, cukup air"
743,232,1726,5.55,53.45,30.39,1.46,247.02,2039.73,Baik,"tambahkan pupuk sedang, cukup air"
619,239,2365,6.1,67.45,33.06,0.83,240.47,3507.77,Baik,"tambahkan pupuk sedang, cukup air"
620,318,1631,6.4,62.26,25.14,0.5,157.1,3275.34,Baik,"tambahkan pupuk sedang, cukup air"
346,166,1595,5.88,53.14,31.55,1.3,252.75,1963.77,Baik,"tambahkan pupuk banyak, cukup air"
846,386,1244,5.72,69.25,28.42,1.95,194.42,1309.06,Baik,"tambahkan pupuk sedang, cukup air"
858,392,2167,5.94,60.37,33.24,0.69,139.05,1215.42,Baik,"tambahkan pupuk sedang, cukup air"
314,256,3510,5.55,51.46,27.92,0.98,328.17,1282.83,Baik,"tambahkan pupuk banyak, cukup air"
346,390,3056,6.32,62.54,27.76,1.38,263.35,2748.61,Baik,"tambahkan pupuk banyak, cukup air"
235,167,1271,6.33,55.06,28.67,1.13,313.03,1154.99,Baik,"tambahkan pupuk banyak, cukup air"
875,142,2556,6.09,66.07,31.24,1.7,270.65,2010.78,Baik,"tambahkan pupuk sedang, cukup air"
453,272,1648,5.85,66.36,34.47,1.55,203.32,3259.6,Baik,"tambahkan pupuk banyak, cukup air"
799,354,3748,6.3,69.58,21.1,0.21,236.18,1883.04,Baik,"tambahkan pupuk sedang, cukup air"
458,271,3079,6.05,60.04,20.8,2.0,270.58,3289.92,Baik,"tambahkan pupuk banyak, cukup air"
618,251,3297,6.33,59.1,34.06,1.53,330.61,3236.4,Baik,"tambahkan pupuk sedang, cukup air"
636,259,2019,6.13,65.07,27.95,1.74,181.52,1737.48,Baik,"tambahkan pupuk sedang, cukup air"
871,221,2473,6.28,52.65,29.22,1.34,312.62,3186.47,Baik,"tambahkan pupuk sedang, cukup air"
363,273,1181,6.1,60.94,27.24,1.73,322.98,3243.33,Baik,"tambahkan pupuk banyak, cukup air"
286,261,1150,5.91,60.92,21.4,0.31,269.46,2192.36,Baik,"tambahkan pupuk banyak, cukup air"
649,117,1857,6.46,51.79,31.52,0.76,324.5,1631.26,Baik,"tambahkan pupuk sedang, cukup air"
480,192,3376,6.04,58.36,31.21,1.77,211.95,2563.81,Baik,"tambahkan pupuk banyak, cukup air"
672,247,2605,6.11,67.07,24.68,0.48,329.09,3764.19,Baik,"tambahkan pupuk sedang, cukup air"
436,205,3738,5.72,67.12,24.59,0.25,276.29,2918.85,Baik,"tambahkan pupuk banyak, cukup air"
417,378,1583,6.13,51.98,32.57,1.6,136.86,1518.77,Baik,"tambahkan pupuk banyak, cukup air"
356,223,3468,6.07,51.81,21.09,1.69,319.35,3048.27,Baik,"tambahkan pupuk banyak, cukup air"
634,189,2296,5.68,55.25,33.22,0.41,230.22,2281.61,Baik,"tambahkan pupuk sedang, cukup air"
527,154,2239,5.56,67.5,23.85,1.72,225.13,2774.59,Baik,"tambahkan pupuk sedang, cukup air"
513,274,3570,6.1,52.58,28.89,1.4,247.52,3202.19,Baik,"tambahkan pupuk sedang, cukup air"
843,186,1346,6.26,64.4,34.04,1.09,159.52,2544.84,Baik,"tambahkan pupuk sedang, cukup air"
431,356,2681,6.02,52.02,30.17,1.68,226.99,3441.95,Baik,"tambahkan pupuk banyak, cukup air"
744,151,3394,5.73,62.46,26.22,0.9,303.37,3166.47,Baik,"tambahkan pupuk sedang, cukup air"
377,199,1259,6.17,57.12,30.34,0.47,131.27,2845.22,Baik,"tambahkan pupuk banyak, cukup air"
842,378,2977,5.58,65.78,25.16,0.64,185.59,1452.38,Baik,"tambahkan pupuk sedang, cukup air"
434,287,1891,5.94,54.67,24.16,1.06,128.52,3507.85,Baik,"tambahkan pupuk banyak, cukup air"
357,288,3583,5.66,62.78,34.95,1.11,215.72,3807.72,Baik,"tambahkan pupuk banyak, cukup air"
420,162,2947,5.68,54.71,31.26,1.63,281.67,1410.9,Baik,"tambahkan pupuk banyak, cukup air"
559,256,3517,5.7,64.27,29.67,1.6,296.54,2464.72,Baik,"tambahkan pupuk sedang, cukup air"
697,233,1492,5.89,67.47,25.33,1.2,327.44,1776.67,Baik,"tambahkan pupuk sedang, cukup air"
582,392,1700,5.55,52.54,20.74,1.58,256.39,3263.57,Baik,"tambahkan pupuk sedang, cukup air"
893,329,2547,5.9,67.33,20.47,0.46,181.73,3164.89,Baik,"tambahkan pupuk dikit, cukup air"
636,335,3397,6.01,61.87,28.31,0.2,323.0,1422.66,Baik,"tambahkan pupuk sedang, cukup air"
579,141,2729,5.98,52.54,31.43,1.76,291.59,3631.08,Baik,"tambahkan pupuk sedang, cukup air"
744,124,2824,5.88,58.55,28.06,0.24,249.2,1542.92,Baik,"tambahkan pupuk sedang, cukup air"
380,386,1333,6.34,53.22,32.61,0.57,274.78,3391.78,Baik,"tambahkan pupuk banyak, cukup air"
381,125,3196,5.65,64.01,20.5,1.42,323.03,2370.94,Baik,"tambahkan pupuk banyak, cukup air"
722,236,3501,6.01,65.18,25.5,0.88,278.32,1984.82,Baik,"tambahkan pupuk sedang, cukup air"
873,240,1649,5.56,52.12,23.56,1.76,205.73,1474.72,Baik,"tambahkan pupuk sedang, cukup air"
784,285,2480,5.57,60.12,26.71,0.67,278.45,1502.84,Baik,"tambahkan pupuk sedang, cukup air"
571,187,2567,6.07,66.29,21.09,0.12,136.5,2985.67,Baik,"tambahkan pupuk sedang, cukup air"
874,267,2473,6.07,68.72,34.31,0.67,209.53,2651.29,Baik,"tambahkan pupuk sedang, cukup air"
706,323,1812,6.38,60.27,23.35,1.2,213.73,1366.26,Baik,"tambahkan pupuk sedang, cukup air"
384,164,3120,6.06,69.01,33.83,0.81,163.2,1338.09,Baik,"tambahkan pupuk banyak, cukup air"
648,269,2623,6.46,60.71,26.39,1.12,132.87,1216.93,Baik,"tambahkan pupuk sedang, cukup air"
531,183,1556,5.55,57.88,34.78,1.77,156.14,3231.3,Baik,"tambahkan pupuk sedang, cukup air"
844,165,3100,5.6,66.96,28.31,1.83,266.13,3135.65,Baik,"tambahkan pupuk sedang, cukup air"
496,267,2844,5.54,59.86,33.96,0.61,297.28,1175.29,Baik,"tambahkan pupuk banyak, cukup air"
377,134,3566,5.69,59.44,20.08,0.98,336.51,2680.81,Baik,"tambahkan pupuk banyak, cukup air"
579,215,1909,6.04,59.81,31.22,1.14,201.08,1254.03,Baik,"tambahkan pupuk sedang, cukup air"
857,175,3277,6.15,66.94,33.55,1.9,254.47,3711.24,Baik,"tambahkan pupuk sedang, cukup air"
805,282,2958,5.55,66.64,22.1,2.0,325.74,3721.35,Baik,"tambahkan pupuk sedang, cukup air"
235,317,1339,6.45,58.07,21.44,0.55,163.25,3094.7,Baik,"tambahkan pupuk banyak, cukup air"
537,261,2669,6.34,56.67,26.37,1.48,279.42,3778.57,Baik,"tambahkan pupuk sedang, cukup air"
487,279,2791,5.8,59.84,34.01,0.82,287.3,3434.36,Baik,"tambahkan pupuk banyak, cukup air"
885,357,3765,5.58,61.46,28.14,0.12,146.77,3485.62,Baik,"tambahkan pupuk sedang, cukup air"
686,184,3345,5.67,54.77,27.91,0.12,309.72,2709.12,Baik,"tambahkan pupuk sedang, cukup air"
270,290,1153,5.63,65.88,22.12,0.98,299.57,1918.18,Baik,"tambahkan pupuk banyak, cukup air"
393,164,1285,5.62,59.73,20.01,1.03,135.05,1653.4,Baik,"tambahkan pupuk banyak, cukup air"
242,223,3094,6.02,56.68,32.15,0.14,147.22,1981.6,Baik,"tambahkan pupuk banyak, cukup air"
466,341,1350,5.75,52.14,21.31,1.41,138.37,2885.49,Baik,"tambahkan pupuk banyak, cukup air"
